         4688146 function calls (4563357 primitive calls) in 3.933 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      184    0.001    0.000    2.979    0.016 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/runners.py:8(run)
      552    0.002    0.000    2.952    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/base_events.py:606(run_until_complete)
      552    0.002    0.000    2.945    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/base_events.py:583(run_forever)
     1656    0.023    0.000    2.941    0.002 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/base_events.py:1815(_run_once)
    38088    0.011    0.000    2.883    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/events.py:78(_run)
    38088    0.017    0.000    2.873    0.000 {method 'run' of 'Context' objects}
    18400    2.128    0.000    2.709    0.000 /Users/adam/git/personal/simian/new/render.py:36(_render_row)
      184    0.001    0.000    0.955    0.005 /Users/adam/git/personal/simian/new/simulation.py:26(update)
        1    0.000    0.000    0.900    0.900 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/dispatcher.py:343(_compile_for_args)
      5/1    0.000    0.000    0.875    0.875 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/dispatcher.py:859(compile)
      2/1    0.000    0.000    0.875    0.875 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/dispatcher.py:79(compile)
      2/1    0.000    0.000    0.875    0.875 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/dispatcher.py:86(_compile_cached)
      2/1    0.000    0.000    0.875    0.875 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/dispatcher.py:101(_compile_core)
      2/1    0.000    0.000    0.874    0.874 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/compiler.py:718(compile_extra)
  381/277    0.000    0.000    0.673    0.002 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
      3/1    0.000    0.000    0.656    0.656 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/compiler.py:432(compile_extra)
      3/1    0.000    0.000    0.655    0.655 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/compiler.py:501(_compile_bytecode)
      4/1    0.000    0.000    0.655    0.655 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/compiler.py:455(_compile_core)
      4/1    0.000    0.000    0.655    0.655 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/compiler_machinery.py:342(run)
    90/30    0.002    0.000    0.654    0.022 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/compiler_machinery.py:268(_runPass)
