         13633529 function calls (13507492 primitive calls) in 14.321 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      808    0.005    0.000   13.276    0.016 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/runners.py:8(run)
     2424    0.006    0.000   13.185    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/base_events.py:606(run_until_complete)
     2424    0.009    0.000   13.160    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/base_events.py:583(run_forever)
     7272    0.089    0.000   13.144    0.002 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/base_events.py:1815(_run_once)
   167256    0.044    0.000   12.913    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/events.py:78(_run)
   167256    0.063    0.000   12.869    0.000 {method 'run' of 'Context' objects}
    80800    9.592    0.000   12.189    0.000 /Users/adam/git/personal/simian/new/render.py:36(_render_row)
  8080000    2.596    0.000    2.596    0.000 {built-in method pygame.draw.rect}
      808    0.004    0.000    1.046    0.001 /Users/adam/git/personal/simian/new/simulation.py:26(update)
        1    0.000    0.000    0.913    0.913 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/dispatcher.py:343(_compile_for_args)
      5/1    0.000    0.000    0.877    0.877 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/dispatcher.py:859(compile)
      2/1    0.000    0.000    0.877    0.877 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/dispatcher.py:79(compile)
      2/1    0.000    0.000    0.877    0.877 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/dispatcher.py:86(_compile_cached)
      2/1    0.000    0.000    0.877    0.877 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/dispatcher.py:101(_compile_core)
      2/1    0.000    0.000    0.877    0.877 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/compiler.py:718(compile_extra)
  381/277    0.000    0.000    0.667    0.002 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
      3/1    0.000    0.000    0.650    0.650 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/compiler.py:432(compile_extra)
